Архив событий от ПТК КМ-Дельта от 13 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
371; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
372; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
373; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
374; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
375; 01.12.2018 22:30:50.000; Нет связи с МКЛП №7;   + ;
376; 01.12.2018 22:30:50.000; Нет связи с МКЛП №8;   + ;
377; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
378; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
379; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
380; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
381; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
382; 01.12.2018 22:30:50.000; Нет связи с МКЛП №7;   + ;
383; 01.12.2018 22:30:50.000; Нет связи с МКЛП №8;   + ;
384; 01.12.2018 22:30:50.000; Отсутствие связи с САУ ГА;   + ;
385; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
386; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
387; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
388; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
389; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
390; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
391; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
392; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
393; 01.12.2018 22:19:06.000; Отсутствие связи с САУ ГА;   + ;
394; 01.12.2018 22:18:42.000; Отсутствие связи с САУ ГА;   - ;
395; 01.12.2018 22:18:09.000; Отсутствие связи с САУ ГА;   + ;
396; 01.12.2018 22:18:09.000; Отсутствие связи с САУ ГА;   + ;
397; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
398; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
399; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
400; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
401; 01.12.2018 22:17:49.000; Отсутствие связи с САУ ГА;   + ;
402; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
403; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
404; 01.12.2018 22:17:49.000; Отсутствие связи с САУ ГА;   + ;
405; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
406; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
407; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
408; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
409; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
410; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
411; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
412; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
413; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
414; 01.12.2018 22:16:22.000; Нет связи с МКЛП №6;   + ;
415; 01.12.2018 22:16:22.000; Включение ПТК КМ-Дельта;   + ;
416; 01.12.2018 22:16:22.000; Нет связи с МКЛП №4;   + ;
417; 01.12.2018 22:16:22.000; Нет связи с МКЛП №3;   + ;
418; 01.12.2018 22:16:22.000; Нет связи с МКЛП №2;   + ;
419; 01.12.2018 22:16:22.000; Нет связи с МКЛП №5;   + ;
420; 01.12.2018 22:16:22.000; Нет связи с МКЛП №1;   + ;
421; 01.12.2018 22:16:22.000; Отсутствие связи с САУ ГА;   + ;
422; 01.12.2018 22:16:22.000; Нет связи с МКЛП №8;   + ;
423; 01.12.2018 22:16:22.000; Нет связи с МКЛП №7;   + ;
424; 01.12.2018 22:14:42.000; Нет связи с МКЛП №7;   + ;
425; 01.12.2018 22:14:42.000; Нет связи с МКЛП №6;   + ;
426; 01.12.2018 22:14:42.000; Нет связи с МКЛП №5;   + ;
427; 01.12.2018 22:14:42.000; Нет связи с МКЛП №4;   + ;
428; 01.12.2018 22:14:42.000; Нет связи с МКЛП №3;   + ;
429; 01.12.2018 22:14:42.000; Нет связи с МКЛП №2;   + ;
430; 01.12.2018 22:14:42.000; Нет связи с МКЛП №8;   + ;
431; 01.12.2018 22:14:42.000; Нет связи с МКЛП №1;   + ;
432; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
433; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
434; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
435; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
436; 01.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
437; 01.12.2018 20:51:18.000; Отсутствие связи с САУ ГА;   + ;
438; 01.12.2018 20:50:59.000; Отсутствие связи с САУ ГА;   - ;
439; 01.12.2018 20:36:13.000; Отсутствие связи с САУ ГА;   + ;
440; 01.12.2018 20:35:55.000; Отсутствие связи с САУ ГА;   - ;
441; 01.12.2018 20:24:33.000; Отсутствие связи с САУ ГА;   + ;
442; 01.12.2018 20:22:23.000; Отсутствие связи с САУ ГА;   + ;
443; 01.12.2018 20:22:05.000; Отсутствие связи с САУ ГА;   - ;
444; 01.12.2018 20:21:35.000; Отсутствие связи с САУ ГА;   + ;
445; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
446; 01.12.2018 20:21:15.000; Отсутствие связи с САУ ГА;   + ;
447; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
448; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
449; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
450; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
451; 01.12.2018 20:21:15.000; Отсутствие связи с САУ ГА;   + ;
452; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
453; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
454; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
455; 01.12.2018 20:21:15.000; Включение ПТК КМ-Дельта;   + ;
456; 01.12.2018 20:19:34.000; Нет связи с МКЛП №8;   + ;
457; 01.12.2018 20:19:34.000; Включение ПТК КМ-Дельта;   + ;
458; 01.12.2018 20:19:34.000; Нет связи с МКЛП №2;   + ;
459; 01.12.2018 20:19:34.000; Нет связи с МКЛП №7;   + ;
460; 01.12.2018 20:19:34.000; Нет связи с МКЛП №1;   + ;
461; 01.12.2018 20:19:34.000; Нет связи с МКЛП №4;   + ;
462; 01.12.2018 20:19:34.000; Нет связи с МКЛП №5;   + ;
463; 01.12.2018 20:19:34.000; Нет связи с МКЛП №6;   + ;
464; 01.12.2018 20:19:34.000; Нет связи с МКЛП №3;   + ;
465; 01.12.2018 20:19:34.000; Включение ПТК КМ-Дельта;   + ;
466; 01.12.2018 5:06:17.000; Отсутствие связи с САУ ГА;   + ;
467; 01.12.2018 4:45:04.000; Нет связи с МКЛП №4;   + ;
468; 01.12.2018 4:45:04.000; Нет связи с МКЛП №3;   + ;
469; 01.12.2018 4:45:04.000; Нет связи с МКЛП №8;   + ;
470; 01.12.2018 4:45:04.000; Нет связи с МКЛП №1;   + ;
471; 01.12.2018 4:45:04.000; Нет связи с МКЛП №7;   + ;
472; 01.12.2018 4:45:04.000; Нет связи с МКЛП №6;   + ;
473; 01.12.2018 4:45:04.000; Нет связи с МКЛП №5;   + ;
474; 01.12.2018 4:45:04.000; Нет связи с МКЛП №2;   + ;
475; 01.12.2018 0:04:32.000; Отсутствие связи с САУ ГА;   - ;
476; 01.12.2018 0:04:01.000; Включение ПТК КМ-Дельта;   + ;
477; 01.12.2018 0:04:01.000; Отсутствие связи с САУ ГА;   + ;
478; 01.01.2000 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
479; 01.01.2000 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
480; 01.01.2000 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
481; 01.01.2000 0:00:00.000; Нет связи с МКЛП №5;   + ;
482; 01.01.2000 0:00:00.000; Включение ПТК КМ-Дельта;   + ;
483; 01.01.2000 0:00:00.000; Включение ПТК КМ-Дельта;   + ;
484; 01.01.2000 0:00:00.000; Нет связи с МКЛП №1;   + ;
485; 01.01.2000 0:00:00.000; Нет связи с МКЛП №2;   + ;
486; 01.01.2000 0:00:00.000; Нет связи с МКЛП №3;   + ;
487; 01.01.2000 0:00:00.000; Нет связи с МКЛП №4;   + ;
488; 01.01.2000 0:00:00.000; Нет связи с МКЛП №5;   + ;
489; 01.01.2000 0:00:00.000; Нет связи с МКЛП №6;   + ;
490; 01.01.2000 0:00:00.000; Нет связи с МКЛП №4;   + ;
491; 01.01.2000 0:00:00.000; Нет связи с МКЛП №7;   + ;
492; 01.01.2000 0:00:00.000; Включение ПТК КМ-Дельта;   + ;
493; 01.01.2000 0:00:00.000; Нет связи с МКЛП №2;   + ;
494; 01.01.2000 0:00:00.000; Включение ПТК КМ-Дельта;   + ;
495; 01.01.2000 0:00:00.000; Включение ПТК КМ-Дельта;   + ;
496; 01.01.2000 0:00:00.000; Нет связи с МКЛП №1;   + ;
497; 01.01.2000 0:00:00.000; Нет связи с МКЛП №8;   + ;
498; 01.01.2000 0:00:00.000; Нет связи с МКЛП №7;   + ;
499; 01.01.2000 0:00:00.000; Нет связи с МКЛП №6;   + ;
500; 01.01.2000 0:00:00.000; Нет связи с МКЛП №8;   + ;
501; 01.01.2000 0:00:00.000; Нет связи с МКЛП №3;   + ;
