ÁÌ‡˜ÂÌËˇ ÓÚÌÓÒËÚÂÎ¸Ì˚Â;
ƒ‡Ú‡;¬ÂÏˇ;Ã Àœ1,ÏÍÏ;Ã Àœ2,ÏÍÏ;Ã Àœ3,ÏÍÏ;Ã Àœ4,ÏÍÏ;Ã Àœ5,ÏÍÏ;Ã Àœ6,ÏÍÏ;Ã Àœ7,ÏÍÏ;Ã Àœ8,ÏÍÏ;
28.12.2018;9:59:30;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:30;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:31;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:31;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:32;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:32;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:33;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:33;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:34;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:34;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:35;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:35;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:36;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:36;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:37;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:37;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:38;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:38;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:39;502;524;490;490;501;507,5;507;500;
28.12.2018;9:59:39;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:40;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:40;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:41;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:41;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:42;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:42;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:43;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:43;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:44;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:44;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:45;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:46;502;524;490;490;501,5;507,5;507;500;
28.12.2018;9:59:46;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:47;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:48;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:49;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:49;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:50;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:50;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:51;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:51;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:52;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:53;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:53;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:54;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:54;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:55;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:56;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:56;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:57;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:57;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:58;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:58;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:59;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;9:59:59;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:00;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:00;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:01;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:01;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:02;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:02;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:03;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:03;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:04;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:04;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:05;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:05;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:06;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:06;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:07;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:08;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:08;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:09;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:09;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:10;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:10;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:11;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:12;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:12;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:13;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:13;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:14;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:14;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:15;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:16;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:16;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:17;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:17;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:18;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:18;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:19;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:19;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:20;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:20;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:21;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:22;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:22;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:23;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:23;502;524;490;490;501,5;507,5;507;500;
28.12.2018;10:00:24;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:24;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:25;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:25;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:26;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:27;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:27;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:28;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:29;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:29;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:30;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:30;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:31;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:31;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:32;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:33;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:34;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:35;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:35;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:36;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:36;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:37;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:37;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:38;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:39;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:39;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:40;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:40;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:41;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:41;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:42;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:42;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:43;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:43;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:44;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:44;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:45;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:45;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:46;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:47;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:48;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:48;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:49;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:49;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:50;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:51;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:52;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:52;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:53;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:53;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:00:54;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:54;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:55;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:55;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:56;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:56;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:57;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:58;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:58;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:59;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:00:59;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:01:00;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:01:00;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:01:01;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:01:01;502;524;490;490;501,5;507,5;507,5;500;
28.12.2018;10:01:02;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:02;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:03;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:03;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:04;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:04;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:05;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:05;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:06;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:06;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:07;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:07;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:08;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:08;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:09;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:09;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:10;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:10;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:11;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:12;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:12;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:13;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:13;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:14;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:14;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:15;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:15;502;524;490;490;501,5;508;507,5;500,5;
28.12.2018;10:01:16;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:17;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:17;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:18;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:18;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:19;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:20;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:21;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:21;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:22;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:22;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:23;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:25;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:25;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:26;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:26;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:27;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:28;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:28;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:29;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:30;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:30;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:31;502;524;490;490;501,5;507,5;507,5;500,5;
28.12.2018;10:01:31;502;524;490;490;501,5;507,5;507,5;500,5;
